county_name,state,county_code,deaths,population,crude_rate
Kiowa,KS,20097,15,2456,Unreliable
Labette,KS,20099,106,19586,541.2
Lane,KS,20101,15,1518,Unreliable
Leavenworth,KS,20103,326,82246,396.4
Lincoln,KS,20105,20,2986,669.8
Linn,KS,20107,67,9654,694.0
Logan,KS,20109,15,2732,Unreliable
Lyon,KS,20111,129,33045,390.4
McPherson,KS,20113,147,28448,516.7
Marion,KS,20115,77,11652,660.8
Marshall,KS,20117,46,9652,476.6
Meade,KS,20119,28,4029,695.0
Miami,KS,20121,153,34334,445.6
Mitchell,KS,20123,34,5879,578.3
Montgomery,KS,20125,200,31502,634.9
Morris,KS,20127,42,5559,755.5
Morton,KS,20129,10,2538,Unreliable
Nemaha,KS,20131,44,10121,434.7
Neosho,KS,20133,103,15929,646.6
Ness,KS,20135,15,2768,Unreliable
Norton,KS,20137,36,5328,675.7
Osage,KS,20139,97,15770,615.1
Osborne,KS,20141,21,3439,610.6
Ottawa,KS,20143,23,5712,402.7
Pawnee,KS,20145,41,6366,644.0
Phillips,KS,20147,31,5181,598.3
Pottawatomie,KS,20149,78,24722,315.5
Pratt,KS,20151,49,9127,536.9
Rawlins,KS,20153,17,2511,Unreliable
Reno,KS,20155,390,61793,631.1
Republic,KS,20157,42,4536,925.9
Rice,KS,20159,60,9362,640.9
Riley,KS,20161,171,73202,233.6
Rooks,KS,20163,25,4827,517.9
Rush,KS,20165,28,2947,950.1
Russell,KS,20167,43,6804,632.0
Saline,KS,20169,274,53926,508.1
Scott,KS,20171,16,4790,Unreliable
Sedgwick,KS,20173,2260,519907,434.7
Seward,KS,20175,58,21038,275.7
Shawnee,KS,20177,927,175999,526.7
Sheridan,KS,20179,17,2520,Unreliable
Sherman,KS,20181,34,5777,588.5
